Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C9,1.5pF,SM0402,-8.90016,-10.2997,0,top
C10,1.0pF,SM0402,-10.20064,-9.70026,90,top
C11,2.2nF,SM0603,-7.59968,-7.29996,180,top
C12,4.7pF,SM0402,-8.10006,-8.39978,180,top
C13,10nF,SM0603_Capa,-3.50012,-13.79982,180,top
C15,33nF,SM0603_Capa,-1.00076,-13.79982,0,top
C16,10nF,SM0603_Capa,5.30098,8.99922,0,top
C17,2.2nF,SM0603_Capa,-4.0005,12.10056,90,top
C18,100nF,SM0603_Capa,4.30022,11.00074,90,top
C20,100nF,SM0603_Capa,-0.09906,14.09954,180,top
C24,100nF,SM0603_Capa,-6.20014,8.90016,270,top
C33,100nF,SM0603_Capa,4.59994,1.39954,180,top
C34,4.7uF,SM0603_Capa,12.99972,-9.4996,90,top
D5,RED_LED,SMDLED-0603,-15.40002,15.49908,45,top
D6,GREEN_LED,SMDLED-0603,15.40002,15.40002,135,top
D7,BLUE_LED,SMDLED-0603,15.49908,-15.49908,225,top
L1,3.9nH,SM0402,-7.2009,-10.2997,0,top
L2,8.2nH,SM0402,-5.79882,-9.90092,90,top
L3,2.7nH,SM0402,-6.79958,-8.99922,270,top
Q1,PMV31XN,SOT23GDS,9.00176,-2.49936,270,top
Q2,PMV31XN,SOT23GDS,9.00176,-5.99948,270,top
Q3,PMV31XN,SOT23GDS,9.00176,-9.4996,270,top
Q4,PMV31XN,SOT23GDS,9.00176,-12.99972,270,top
R1,10k,SM0603,11.50112,-2.49936,90,top
R2,10k,SM0603,11.50112,-5.99948,90,top
R3,10k,SM0603,11.50112,-9.4996,90,top
R4,10k,SM0603,11.50112,-12.99972,90,top
R5,330R,SM0603,-13.79982,13.09878,0,top
R6,220R,SM0603,12.10056,15.19936,0,top
R8,10k,SM0603,-8.001,-1.50114,180,top
R9,10k,SM0603,-8.001,-2.99974,180,top
R10,NM,SM0603,-4.39928,-3.50012,270,top
R11,NM,SM0603,-5.90042,-3.50012,270,top
R12,22k,SM0603,-5.99948,-13.79982,180,top
R13,2.2k,SM0603,-9.99998,14.59992,270,top
R14,2.2k,SM0603,-8.49884,14.59992,270,top
R22,1k,SM0603,14.89964,-12.49934,180,top
R24,1.2k,SM0603,4.89966,-1.00076,90,top
R25,10k,SM0603,6.4008,-1.00076,90,top
R26,1.2K,SM0603,11.99896,-0.50038,180,top
R27,10k,SM0603,12.99972,-2.49936,90,top
R31,100k,SM0603,9.99998,5.4991,270,top
R36,10k,SM0603,4.59994,2.90068,0,top
R37,10k,SM0603,5.6007,5.40004,0,top
R39,100R,SM0402,2.4003,-2.74574,270,top
R40,100R,SM0402,1.50114,-2.74574,270,top
R41,100R,SM0402,0.59944,-2.74574,270,top
R42,100R,SM0402,-0.29972,-2.74574,270,top
SW1,PUSH_ON/OFF,SPST-NO-4x2.5,15.1003,11.50112,72,top
U2,NRF24L01+,QFN20-4x4mm,-2.49936,-9.99998,180,top
U3,MPU60X0,MPU60X0,-0.39878,10.59942,90,top
U5,MS5611-01BA03,MS5611,-9.19988,10.09904,0,top
U8,BQ24075,QFN16,8.99922,1.99898,180,top
U10,MAX16054,SOT23_6,12.7,6.79958,270,top
Y1,CHIP_ANTENNA,CHIP-ANT-6.5x2.2,-13.5001,-13.59916,225,top
